деревне деревня
жила жить
имени имя
была быть
любопытной любопытный
умной умный
девочкой девочка
говорили говорить
русском русский
языке язык
хотела хотеть
решила решить
захватывающее захватывающий
услышала услышать
сказочной сказочный
долине долина
месте место
жили жить
сказки сказка
каждая каждый
них они
ей она
было быть
был быть
реку река
высокую высокий
гору гора
первым первый
испытанием испытание
прокладывала прокладывать
густые густой
деревья дерево
листьев листья
ногами нога
заметила заметить
птицу птица
поющую поющий
чудесные чудесный
песни песня
подумала подумать
мысли мысль
добралась добраться
реки река
увидела увидеть
плескалась плескаться
тихую тихий
мелодию мелодия
словами слово
задумалась задуматься
имеет иметь
слова слово
гармонию гармония
природы природа
танцуют танцевать
небе небо
переливающиеся переливающийся
облаков облако
облака облако
размышляла размышлять
понимала понимать
предоставляет предоставлять
слов слово
удивительные удивительный
явления явление
достигла достичь
долины долина
ожила ожить
смешные смешной
рассказы рассказ
забавных забавный
животных животное
героические героический
истории история
смелых смелый
друзьях друг
трогательные трогательный
любви любовь
вдохновилась вдохновляться
